batch_id,batch_order,batch_image_path,image_path,annotation_path,sequence_id,frame_id,split,camera_height_m,person_count,bicycle_count,scenario_hint,selection_reason,annotation_mode,annotation_status,exclude_reason,rail_annotation_status,left_rail_points,right_rail_points
railgoerl24_batch_001,1,images/train/001__2024-04-25_XRAISE_Crossing_10m_00001125.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00001125.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00001125.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,1125,train,2.45,1,0,normal,sequence_coverage,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,2,images/train/002__2024-04-25_XRAISE_Crossing_10m_00002925.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00002925.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00002925.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,2925,train,2.45,3,0,normal,sequence_coverage,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,3,images/train/003__2024-04-25_XRAISE_Crossing_10m_00003375.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00003375.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00003375.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,3375,train,2.45,4,0,normal,hard_case_extension,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,4,images/train/004__2024-04-25_XRAISE_Crossing_40m_00001545.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00001545.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00001545.xml,2024-04-25_TUEV_Elchingen/Crossing_40m.mp4,1545,train,2.45,5,0,normal,sequence_coverage,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,5,images/train/005__2024-04-25_XRAISE_Crossing_40m_00002775.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00002775.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00002775.xml,2024-04-25_TUEV_Elchingen/Crossing_40m.mp4,2775,train,2.45,6,0,normal,hard_case_extension,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,6,images/train/006__2024-04-25_XRAISE_Crossing_40m_00004020.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00004020.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_40m.mp4/2024-04-25_XRAISE_Crossing_40m_00004020.xml,2024-04-25_TUEV_Elchingen/Crossing_40m.mp4,4020,train,2.45,6,0,normal,sequence_coverage,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,7,images/train/007__2024-04-25_XRAISE_Crossing_80_Front_Teil1_00001470.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil1.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil1_00001470.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil1.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil1_00001470.xml,2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil1.mp4,1470,train,2.45,1,0,normal,sequence_coverage,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,8,images/train/008__2024-04-25_XRAISE_Crossing_80_Front_Teil1_00003840.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil1.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil1_00003840.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil1.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil1_00003840.xml,2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil1.mp4,3840,train,2.45,2,0,normal,sequence_coverage,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,9,images/train/009__2024-04-25_XRAISE_Crossing_80_Front_Teil1_00004440.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil1.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil1_00004440.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil1.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil1_00004440.xml,2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil1.mp4,4440,train,2.45,2,0,normal,hard_case_extension,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,10,images/train/010__2024-04-25_XRAISE_Crossing_80_Front_Teil2_Balancieren_00000555.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil2_Balancieren.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil2_Balancieren_00000555.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil2_Balancieren.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil2_Balancieren_00000555.xml,2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil2_Balancieren.mp4,555,train,2.45,3,0,normal,hard_case_extension,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,11,images/train/011__2024-04-25_XRAISE_Crossing_80_Front_Teil2_Balancieren_00000930.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil2_Balancieren.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil2_Balancieren_00000930.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil2_Balancieren.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil2_Balancieren_00000930.xml,2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil2_Balancieren.mp4,930,train,2.45,2,0,normal,sequence_coverage,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,12,images/train/012__2024-04-25_XRAISE_Crossing_80_Front_Teil2_Balancieren_00002430.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil2_Balancieren.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil2_Balancieren_00002430.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil2_Balancieren.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil2_Balancieren_00002430.xml,2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil2_Balancieren.mp4,2430,train,2.45,1,0,normal,sequence_coverage,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,13,images/train/013__2024-04-25_XRAISE_Crossing_80_Front_Teil3_Rentner_00001125.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil3_Rentner.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil3_Rentner_00001125.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil3_Rentner.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil3_Rentner_00001125.xml,2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil3_Rentner.mp4,1125,train,2.45,2,0,normal,sequence_coverage,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,14,images/train/014__2024-04-25_XRAISE_Crossing_80_Front_Teil3_Rentner_00002925.jpg,imgs/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil3_Rentner.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil3_Rentner_00002925.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil3_Rentner.mp4/2024-04-25_XRAISE_Crossing_80_Front_Teil3_Rentner_00002925.xml,2024-04-25_TUEV_Elchingen/Crossing_80_Front_Teil3_Rentner.mp4,2925,train,2.45,1,0,normal,sequence_coverage,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,15,images/train/015__2024-04-25_XRAISE_Fuzzy-Betrunkene_00000495.jpg,imgs/2024-04-25_TUEV_Elchingen/Fuzzy-Betrunkene.mp4/2024-04-25_XRAISE_Fuzzy-Betrunkene_00000495.jpg,annots/2024-04-25_TUEV_Elchingen/Fuzzy-Betrunkene.mp4/2024-04-25_XRAISE_Fuzzy-Betrunkene_00000495.xml,2024-04-25_TUEV_Elchingen/Fuzzy-Betrunkene.mp4,495,train,2.45,7,0,normal,sequence_coverage,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,16,images/train/016__2024-04-25_XRAISE_Fuzzy-Betrunkene_00001110.jpg,imgs/2024-04-25_TUEV_Elchingen/Fuzzy-Betrunkene.mp4/2024-04-25_XRAISE_Fuzzy-Betrunkene_00001110.jpg,annots/2024-04-25_TUEV_Elchingen/Fuzzy-Betrunkene.mp4/2024-04-25_XRAISE_Fuzzy-Betrunkene_00001110.xml,2024-04-25_TUEV_Elchingen/Fuzzy-Betrunkene.mp4,1110,train,2.45,11,0,normal,hard_case_extension,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,17,images/train/017__2024-04-25_XRAISE_Fuzzy-Betrunkene_00001305.jpg,imgs/2024-04-25_TUEV_Elchingen/Fuzzy-Betrunkene.mp4/2024-04-25_XRAISE_Fuzzy-Betrunkene_00001305.jpg,annots/2024-04-25_TUEV_Elchingen/Fuzzy-Betrunkene.mp4/2024-04-25_XRAISE_Fuzzy-Betrunkene_00001305.xml,2024-04-25_TUEV_Elchingen/Fuzzy-Betrunkene.mp4,1305,train,2.45,8,0,normal,sequence_coverage,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,18,images/train/018__2024-04-25_XRAISE_Fuzzy-KinderMenschengruppe1_00001335.jpg,imgs/2024-04-25_TUEV_Elchingen/Fuzzy-KinderMenschengruppe1.mp4/2024-04-25_XRAISE_Fuzzy-KinderMenschengruppe1_00001335.jpg,annots/2024-04-25_TUEV_Elchingen/Fuzzy-KinderMenschengruppe1.mp4/2024-04-25_XRAISE_Fuzzy-KinderMenschengruppe1_00001335.xml,2024-04-25_TUEV_Elchingen/Fuzzy-KinderMenschengruppe1.mp4,1335,train,2.45,7,0,normal,sequence_coverage,prelabel_then_review,pending,,pending,,
railgoerl24_batch_001,19,images/train/019__2024-04-25_XRAISE_Fuzzy-KinderMenschengruppe1_00002415.jpg,imgs/2024-04-25_TUEV_Elchingen/Fuzzy-KinderMenschengruppe1.mp4/2024-04-25_XRAISE_Fuzzy-KinderMenschengruppe1_00002415.jpg,annots/2024-04-25_TUEV_Elchingen/Fuzzy-KinderMenschengruppe1.mp4/2024-04-25_XRAISE_Fuzzy-KinderMenschengruppe1_00002415.xml,2024-04-25_TUEV_Elchingen/Fuzzy-KinderMenschengruppe1.mp4,2415,train,2.45,10,0,normal,hard_case_extension,prelabel_then_review,pending,,pending,,
