image_path,annotation_path,sequence_id,frame_id,camera_height_m,split,object_count,class_assignment_count,person_count,bicycle_count,other_label_counts,invalid_box_count,objects_without_label,image_width,image_height,everything_annotated
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000000.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000000.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,0,2.45,train,0,0,0,0,{},0,0,1920,1080,partial
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000015.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000015.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,15,2.45,train,0,0,0,0,{},0,0,1920,1080,partial
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000030.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000030.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,30,2.45,train,0,0,0,0,{},0,0,1920,1080,partial
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000045.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000045.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,45,2.45,train,0,0,0,0,{},0,0,1920,1080,partial
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000060.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000060.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,60,2.45,train,0,0,0,0,{},0,0,1920,1080,partial
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000075.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000075.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,75,2.45,train,0,0,0,0,{},0,0,1920,1080,partial
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000090.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000090.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,90,2.45,train,0,0,0,0,{},0,0,1920,1080,partial
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000105.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000105.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,105,2.45,train,0,0,0,0,{},0,0,1920,1080,partial
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000120.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000120.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,120,2.45,train,0,0,0,0,{},0,0,1920,1080,partial
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000135.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000135.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,135,2.45,train,0,0,0,0,{},0,0,1920,1080,partial
imgs/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000150.jpg,annots/2024-04-25_TUEV_Elchingen/Crossing_10m.mp4/2024-04-25_XRAISE_Crossing_10m_00000150.xml,2024-04-25_TUEV_Elchingen/Crossing_10m.mp4,150,2.45,train,0,0,0,0,{},0,0,1920,1080,partial
